MMSI,NAVSTATUS,ROT,SOG,LAT,LON,COG,TRUE_HEADING,DATETIME,IMO,VESSELNAME,VESSELTYPEINT,SHIPLENGTH,SHIPWIDTH,BOW,STERN,PORT,STARBOARD,DRAUGHT,DESTINATION,CALLSIGN,POSACCURACY,ETA,POSFIXTYPE
636091978,0,0,16.6,-32.85559667,-71.66596167,338,335,1330607158,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.857735,-71.66490667,337,335,1330607127,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.85851833,-71.66452667,337,335,1330607117,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.86201,-71.662805,337,335,1330607067,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.86457833,-71.66154667,337,336,1330607035,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.86800167,-71.65985667,336,335,1330606985,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.86970167,-71.658975,337,335,1330606959,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.87054167,-71.65853667,337,334,1330606947,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.87310333,-71.65725833,337,335,1330606909,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.88076833,-71.65336667,337,335,1330606803,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.88160667,-71.65291,337,334,1330606793,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.88545,-71.65100333,337,335,1330606737,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
636091978,5,0,16.6,-32.88920333,-71.6491,337,335,1330606681,9261815,RIO VALIENTE,79,208,25,191,17,13,12,80,CALLAO,A8VC3,0,-1,-1
