MMSI,NAVSTATUS,ROT,SOG,LAT,LON,COG,TRUE_HEADING,DATETIME,IMO,VESSELNAME,VESSELTYPEINT,SHIPLENGTH,SHIPWIDTH,BOW,STERN,PORT,STARBOARD,DRAUGHT,DESTINATION,CALLSIGN,POSACCURACY,ETA,POSFIXTYPE
367085430,0,731.3864841,4.7,32.751555,-117.35716,143.4,511,1330608042,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4.6,32.74930667,-117.35541,144.4,511,1330608162,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.1,32.74818667,-117.354535,136.1,511,1330608222,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4.8,32.74571667,-117.3525683,150,511,1330608352,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.5,32.744405,-117.35152,159.7,511,1330608422,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4,32.73710833,-117.34549,140.1,511,1330608813,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.2,32.73599333,-117.3445833,156.2,511,1330608873,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,4.2,32.732605,-117.34179,147.8,511,1330609052,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.3,32.73032667,-117.339915,147.7,511,1330609172,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
367085430,0,731.3864841,5.4,32.72806,-117.3380233,157.5,511,1330609292,0,MELISSA B,31,14,4,0,14,0,4,20,SAN DIEGO,WDC8339,0,-1,-1
