MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION,MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION
447636000,0,-128,17.4,0,-4.887833,35.998808,81,82,07-MAY-07 11.42.27 AM,8901884,VRVU4,City Of Hamburg,7,182,31,0,0,0,0,0,05/12 - 02.00,10.5,Hamburg limassol,447636000,0,-128,174,0,-4.887833,35.998808,810,82,07-MAY-07 11.42.27 AM,8901884,VRVU4,City Of Hamburg,7,182,31,0,0,0,0,0,05/12 - 02.00,10.5,Hamburg limassol
477240400,0,-128,0,0,-5.376602,36.143553,229,326,07-MAY-07 11.41.46 AM,9288526,VRZY4,Pos Courage,7,225,32,0,0,0,0,0,05/07 - 10.30,14.3,Gibraltar,477240400,0,-128,0,0,-5.376602,36.143553,2290,326,07-MAY-07 11.41.46 AM,9288526,VRZY4,Pos Courage,7,225,32,0,0,0,0,0,05/07 - 10.30,14.3,Gibraltar
565223000,0,-128,15.9,0,-5.893768,35.917363,85,88,07-MAY-07 11.42.10 AM,9340465,9VBQ9,Pujawati,8,138,24,0,0,0,0,0,05/14 - 06.00,6.3,Ilichevsk,565223000,0,-128,159,0,-5.893768,35.917363,850,88,07-MAY-07 11.42.10 AM,9340465,9VBQ9,Pujawati,8,138,24,0,0,0,0,0,05/14 - 06.00,6.3,Ilichevsk
224101930,0,-128,0.2,0,-5.439412,36.127518,61,263,07-MAY-07 11.41.44 AM,9280378,EABZ,Spabunker Veintidos,8,82,16,0,0,0,0,0,00/00 - 20.00,5.3,Bahia Algeciras,224101930,0,-128,2,0,-5.439412,36.127518,610,263,07-MAY-07 11.41.44 AM,9280378,EABZ,Spabunker Veintidos,8,82,16,0,0,0,0,0,00/00 - 20.00,5.3,Bahia Algeciras
376621000,0,-128,13.7,0,-5.150092,36.03229,260,258,07-MAY-07 11.41.00 AM,7700049,J8B3539,Aegean Fantasy,7,147,25,0,0,0,0,0,05/08 - 04.00,6,Casablanca,376621000,0,-128,137,0,-5.150092,36.03229,2600,258,07-MAY-07 11.41.00 AM,7700049,J8B3539,Aegean Fantasy,7,147,25,0,0,0,0,0,05/08 - 04.00,6,Casablanca
371667000,0,-128,0.1,0,-5.316125,35.896684,138,299,07-MAY-07 11.42.29 AM,8002054,3EDV4,Ag Bless,7,105,16,0,0,0,0,0,05/08 - 13.00,6.5,Casablanca,371667000,0,-128,1,0,-5.316125,35.896684,1380,299,07-MAY-07 11.42.29 AM,8002054,3EDV4,Ag Bless,7,105,16,0,0,0,0,0,05/08 - 13.00,6.5,Casablanca
242023000,0,-128,16.6,0,-5.532676,35.9333,67,66,07-MAY-07 11.42.36 AM,7349601,CNUH,Boughaz,6,118,20,0,0,0,0,0,05/07 - 09.00,4.6,Tanger algeciras,242023000,0,-128,166,0,-5.532676,35.9333,670,66,07-MAY-07 11.42.36 AM,7349601,CNUH,Boughaz,6,118,20,0,0,0,0,0,05/07 - 09.00,4.6,Tanger algeciras
236109000,0,-128,11.9,0,-6.430904,36.02383,280,283,07-MAY-07 11.41.57 AM,8404991,ZDED2,Condock V,7,106,19,0,0,0,0,0,05/13 - 12.00,3.7,Bergen,236109000,0,-128,119,0,-6.430904,36.02383,2800,283,07-MAY-07 11.41.57 AM,8404991,ZDED2,Condock V,7,106,19,0,0,0,0,0,05/13 - 12.00,3.7,Bergen
247585000,0,-128,21.2,0,-4.759579,36.0796,265,265,07-MAY-07 11.41.51 AM,9164768,IBID,Cala Pula,7,190,24,0,0,0,0,0,05/14 - 23.30,7.2,Cartagena,247585000,0,-128,212,0,-4.759579,36.0796,2650,265,07-MAY-07 11.41.51 AM,9164768,IBID,Cala Pula,7,190,24,0,0,0,0,0,05/14 - 23.30,7.2,Cartagena
572354000,0,-128,2.1,0,-4.705626,36.012023,139,170,07-MAY-07 11.42.28 AM,9412323,T2PK2,Melwillch,7,100,15,0,0,0,0,0,00/00 - 00.00,0,,572354000,0,-128,21,0,-4.705626,36.012023,1390,170,07-MAY-07 11.42.28 AM,9412323,T2PK2,Melwillch,7,100,15,0,0,0,0,0,00/00 - 00.00,0,
